model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
roberta-base-1B-3,mlm,Anne,child,356,1275,0.7771721982405845,0.32916776786498286,0.2463705664191526,0.8125490196078431
roberta-base-1B-3,mlm,Anne,mother,698,6140,0.7282228884276859,0.4682811360471365,0.49408113528733233,0.7899022801302932
roberta-base-1B-3,mlm,Aran,child,411,2004,0.7175762166026813,0.3838413451728197,0.3459105072826682,0.779441117764471
roberta-base-1B-3,mlm,Aran,mother,1038,8432,0.7252251333893438,0.4127054409431265,0.4534099698603574,0.8113140417457305
roberta-base-1B-3,mlm,Becky,child,390,1564,0.7979876677350773,0.32644421549291747,0.2548216807199969,0.8343989769820972
roberta-base-1B-3,mlm,Becky,mother,605,3754,0.7732983217545866,0.39111237875231514,0.36240734166019656,0.7980820458177944
roberta-base-1B-3,mlm,Carl,child,412,4041,0.6929398812493872,0.44083871339431596,0.5792192670109086,0.751051719871319
roberta-base-1B-3,mlm,Carl,mother,512,3838,0.7294550817894161,0.4320016097774456,0.45597968405733236,0.784783741532048
roberta-base-1B-3,mlm,Dominic,child,153,411,0.8449137334828846,0.19457109800652317,0.17664313949679267,0.8345498783454988
roberta-base-1B-3,mlm,Dominic,mother,540,4238,0.7440492818015483,0.36855424831131034,0.4578313408020517,0.7609721566776781
roberta-base-1B-3,mlm,Gail,child,354,1013,0.8050246830389073,0.24843554779340188,0.18982220562077454,0.8331688055281342
roberta-base-1B-3,mlm,Gail,mother,865,3795,0.7688136656190466,0.32233768088217535,0.2675827170750634,0.8065876152832675
roberta-base-1B-3,mlm,Joel,child,390,1221,0.7989508319709934,0.27324504531386834,0.2060896744595886,0.8296478296478297
roberta-base-1B-3,mlm,Joel,mother,800,3583,0.7854573710588697,0.2945689997301148,0.2647176780704703,0.8144013396595032
roberta-base-1B-3,mlm,John,child,354,1912,0.7318261569284047,0.41507303022183095,0.3726915054582121,0.7698744769874477
roberta-base-1B-3,mlm,John,mother,732,3849,0.7231492227124934,0.3720399050828394,0.34138965523853726,0.8017666926474409
roberta-base-1B-3,mlm,Liz,child,331,1459,0.805881578163742,0.3595233865662068,0.27518180527477787,0.8279643591501028
roberta-base-1B-3,mlm,Liz,mother,611,3177,0.7898333701792795,0.3576102286705602,0.30456044005573896,0.8032735284859931
roberta-base-1B-3,mlm,Nicole,child,261,770,0.801536334604357,0.266952513425458,0.20476354942676592,0.8480519480519481
roberta-base-1B-3,mlm,Nicole,mother,804,4353,0.7713065070646117,0.36567959782288995,0.3179044969197105,0.8104755341144039
roberta-base-1B-3,mlm,Ruth,child,223,806,0.8106267345376382,0.2619682592163259,0.24244190700482013,0.7431761786600496
roberta-base-1B-3,mlm,Ruth,mother,692,4656,0.7618551778935408,0.4065963661149781,0.38817599013375204,0.8213058419243986
roberta-base-1B-3,mlm,Warren,child,433,2683,0.7201288329289176,0.388662577013445,0.4106614905541014,0.7901602683563176
roberta-base-1B-3,mlm,Warren,mother,838,6159,0.7106442478339534,0.39225489560064136,0.4398181974285153,0.8017535314174379
