model_name,model_type,child_name,speaker,tpr_overall,tpr_the,tpr_a,n_total,n_previous_a,n_previous_the
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Anne,child,0.3368991215001414,0.2904344669299803,0.3737044571990862,500,221,279
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,John,mother,0.372039820343916,0.34841250454278094,0.39295719311409644,526,247,279
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,John,child,0.43098622193012337,0.41918225671926285,0.4383030633793213,473,181,292
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Nicole,mother,0.36820880611163836,0.37086838907475456,0.3594117240028692,280,215,65
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Nicole,child,0.36309726371130596,0.3646743503270726,0.3608302017011414,234,138,96
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Warren,mother,0.37146452939305075,0.36981538007274994,0.3731489924032937,944,477,467
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Warren,child,0.38891508722517554,0.37767967825912047,0.39580555288013897,826,314,512
baby-llama-58m,ar,Gail,mother,0.215359415536411,0.24328869223665636,0.16178080309104237,286,188,98
baby-llama-58m,ar,Gail,child,0.26272792411774276,0.23046224585346842,0.30817742790935515,224,131,93
baby-llama-58m,ar,Dominic,child,0.3122506306765347,0.322274188820656,0.2914875459494265,172,116,56
baby-llama-58m,ar,Dominic,mother,0.23527566710295367,0.23038313186442086,0.2528171958850102,188,147,41
baby-llama-58m,ar,Becky,mother,0.20537776474542743,0.21816829213390287,0.18068589101687332,548,361,187
baby-llama-58m,ar,Becky,child,0.24133509802387496,0.2532937147588444,0.22513310115714213,438,252,186
baby-llama-58m,ar,Liz,mother,0.1979806812310784,0.20403302428257494,0.1859201728145925,410,273,137
baby-llama-58m,ar,Liz,child,0.20968100113032614,0.22124254286452888,0.19359860012826205,373,217,156
baby-llama-58m,ar,Carl,mother,0.20074556124861398,0.23328546780307585,0.1748763355378168,1077,477,600
baby-llama-58m,ar,Carl,child,0.29562322460752544,0.362537985130329,0.24026402513886067,910,412,498
baby-llama-58m,ar,Joel,child,0.20409006154514445,0.212161514654792,0.1950355468388091,331,175,156
baby-llama-58m,ar,Joel,mother,0.15429134377848416,0.1693866339800636,0.12987249198181158,445,275,170
baby-llama-58m,ar,Ruth,mother,0.15618318738266793,0.16179985132830724,0.14905961359795464,372,208,164
baby-llama-58m,ar,Ruth,child,0.32732118822335254,0.3422053977038839,0.31376228506643006,279,133,146
baby-llama-58m,ar,Aran,mother,0.17331641608126788,0.2043706842089441,0.14619784512949505,1079,503,576
baby-llama-58m,ar,Aran,child,0.2985561243840459,0.3758666219511291,0.25429207479661786,802,292,510
baby-llama-58m,ar,Anne,mother,0.15076239452575227,0.1892474709944421,0.11421870173649187,657,320,337
baby-llama-58m,ar,Anne,child,0.2209861411094414,0.2386481866214418,0.2069957753096132,500,221,279
baby-llama-58m,ar,John,mother,0.26869554124476097,0.3459828914158008,0.20027269001806977,526,247,279
baby-llama-58m,ar,John,child,0.3415870648403048,0.36482738799699743,0.32718124808906734,473,181,292
baby-llama-58m,ar,Nicole,mother,0.1900108336064747,0.2009124935926179,0.15395149672923192,280,215,65
baby-llama-58m,ar,Nicole,child,0.25743995715386275,0.290993730015139,0.20920640866577822,234,138,96
baby-llama-58m,ar,Warren,mother,0.2530057691422404,0.3290103617603169,0.17537366918758843,944,477,467
baby-llama-58m,ar,Warren,child,0.27522182913075116,0.3233396401953326,0.24571207781380078,826,314,512
babyllama-100m-2024,ar,Gail,mother,0.19129817195319074,0.21557747788733492,0.14472154424279168,286,188,98
babyllama-100m-2024,ar,Gail,child,0.23777359204312962,0.17616201104193877,0.32455979753943065,224,131,93
babyllama-100m-2024,ar,Dominic,child,0.2606692603425166,0.18919533722749665,0.40872238679505785,172,116,56
