K,children_perdyad_TPR,other_adult_pooled_TPR,other_adult_n
1,0.077491139277585,0.07246376811594203,207
2,0.09559016200660618,0.09841269841269841,315
3,0.10405850931888204,0.1196808510638298,376
4,0.11221396621645975,0.12325581395348838,430
5,0.11882156141278648,0.12446351931330472,466
6,0.11954446154663394,0.12981744421906694,493
7,0.12412100291143006,0.13529411764705881,510
8,0.1290694889267008,0.13962264150943396,530
9,0.13348611034397043,0.143646408839779,543
10,0.13476921601417496,0.15384615384615385,559
11,0.13645865959441136,0.15263157894736842,570
12,0.13784480904525365,0.153184165232358,581
13,0.13861325790677798,0.15630252100840336,595
14,0.14163691532817652,0.155,600
15,0.14407851008671593,0.1540983606557377,610
16,0.14670335098596898,0.15483870967741936,620
17,0.14872238164838938,0.15629984051036683,627
18,0.15032020516603897,0.1579778830963665,633
19,0.1511924239988355,0.16174183514774496,643
20,0.1518317474124837,0.1617873651771957,649
21,0.15346738233175758,0.16236722306525037,659
22,0.15315918806155018,0.16442451420029897,669
23,0.15431934456176807,0.1656891495601173,682
24,0.1553163718652705,0.1681159420289855,690
25,0.15564009503376341,0.17002881844380405,694
26,0.1559994696702158,0.16975748930099857,701
27,0.15561527279661805,0.17158931082981715,711
28,0.15627805570657377,0.1717877094972067,716
29,0.1566740418220851,0.17270194986072424,718
30,0.15824928566621146,0.17270194986072424,718
31,0.15841988562390996,0.17289073305670816,723
32,0.15898039356676408,0.1717032967032967,728
33,0.16067537503137017,0.17053206002728513,733
34,0.16032175469847645,0.17162162162162162,740
35,0.1611752722668443,0.17269076305220885,747
36,0.16235637403353487,0.17310252996005326,751
37,0.16431173330451754,0.17374005305039789,754
38,0.16458305970431372,0.17391304347826086,759
39,0.16424166443293714,0.1747700394218134,761
40,0.16483914206514855,0.1738562091503268,765
41,0.1660879813706415,0.1738562091503268,765
42,0.16682841565639242,0.17616580310880828,772
43,0.16731968596202826,0.17525773195876287,776
44,0.16842394083162726,0.17503217503217502,777
45,0.16933416213461636,0.17435897435897435,780
46,0.16978823942860924,0.17391304347826086,782
47,0.17010052360120265,0.17369093231162197,783
48,0.1701439609155666,0.17280813214739518,787
49,0.1704418357416052,0.17258883248730963,788
50,0.1720439674714149,0.17424242424242425,792
51,0.17255712624054997,0.17402269861286254,793
52,0.1729139990938127,0.17336683417085427,796
53,0.17287352815965895,0.1735330836454432,801
54,0.17319114913228276,0.17288557213930347,804
55,0.1731500584020301,0.17369727047146402,806
56,0.17289741686694216,0.17407407407407408,810
57,0.17351515760785405,0.17589175891758918,813
58,0.1744033513201363,0.17769607843137256,816
59,0.17482171687031609,0.17704517704517705,819
60,0.17598585957452062,0.17639902676399027,822
61,0.17721089496669587,0.17618469015795868,823
62,0.17840127368466382,0.17533252720677148,827
63,0.1788339613886176,0.1751207729468599,828
64,0.17934886332157063,0.17490952955367914,829
65,0.1799582380305753,0.1752701080432173,833
66,0.1798834090521152,0.17464114832535885,836
67,0.18042933334955147,0.17520858164481526,839
68,0.18033280595136134,0.17577197149643706,842
69,0.18020917202623754,0.17514792899408285,845
70,0.18013654368611323,0.17612293144208038,846
71,0.1810499632149116,0.17785630153121318,849
72,0.18122950308049482,0.17743830787309048,851
73,0.18264348215622964,0.18011695906432748,855
74,0.18271238644371576,0.17990654205607476,856
75,0.18356302171709316,0.17969661610268378,857
76,0.1842781393326773,0.18044237485448195,859
77,0.18482847608342287,0.18213457076566125,862
78,0.18507533251918706,0.18223760092272204,867
79,0.1852222732846827,0.18223760092272204,867
80,0.18582065837209064,0.18411967779056387,869
81,0.18596010696603207,0.1839080459770115,870
82,0.18663252847420922,0.18577981651376146,872
83,0.1864015423882753,0.18628571428571428,875
84,0.18637738562803205,0.18628571428571428,875
85,0.18634799583661635,0.1856492027334852,878
