speaker,corpus,n_dyads,mean_tpr,sd_tpr,p_validation,p_1sample,p_welch_vs_adults,p_child_vs_caretaker,adult_tpr_population_mean
child,manchester,12,0.2258725305298738,0.04973218344448385,0.5549074044812664,0.48423726930331257,0.8100996874470985,0.06373783833065302,0.2154798761609907
mother,manchester,12,0.1996191270901729,0.04585803781526537,0.7829216906505927,0.2560494896860288,0.12000208266549858,0.06373783833065302,0.2154798761609907
other_adult,tpr_data,17,0.23076961559463016,0.05842911368975147,,,,,0.2154798761609907
