model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
roberta-base-10M-3,mlm,Anne,child,356,1275,0.8208169002508278,0.2786733754073028,0.21991673883019305,0.6894117647058824
roberta-base-10M-3,mlm,Anne,mother,698,6140,0.7851474451092355,0.41075145521471246,0.44757815534007167,0.6244299674267101
roberta-base-10M-3,mlm,Aran,child,411,2004,0.7895738999683706,0.3398676843785031,0.30294279260559986,0.6736526946107785
roberta-base-10M-3,mlm,Aran,mother,1038,8432,0.7818372328422493,0.3667639467495062,0.41092086604363964,0.6563092979127134
roberta-base-10M-3,mlm,Becky,child,390,1564,0.84453701671096,0.27857092535055966,0.22092542383787991,0.782608695652174
roberta-base-10M-3,mlm,Becky,mother,605,3754,0.8322109991655199,0.33331631719832994,0.31155246964649147,0.6917954182205648
roberta-base-10M-3,mlm,Carl,child,412,4041,0.7626422892392181,0.387767595641969,0.5268104424051072,0.651818856718634
roberta-base-10M-3,mlm,Carl,mother,512,3838,0.7935078281876721,0.37588353767692884,0.4052807836217469,0.6662324127149557
roberta-base-10M-3,mlm,Dominic,child,153,411,0.9124170891462469,0.1191273749049936,0.12262929080026069,0.8394160583941606
roberta-base-10M-3,mlm,Dominic,mother,540,4238,0.8296330033741247,0.3232416398220965,0.37855759494983504,0.6448796602170835
roberta-base-10M-3,mlm,Gail,child,354,1013,0.8536142494950789,0.19518103615581506,0.16131103478351624,0.7660414610069102
roberta-base-10M-3,mlm,Gail,mother,865,3795,0.8279834605018457,0.26592843604913224,0.22970471978440893,0.700395256916996
roberta-base-10M-3,mlm,Joel,child,390,1221,0.8568960500112169,0.20615196275177747,0.1701477005048127,0.7502047502047502
roberta-base-10M-3,mlm,Joel,mother,800,3583,0.8364082036234238,0.24348727229600634,0.2292566809828978,0.7270443762210438
roberta-base-10M-3,mlm,John,child,354,1912,0.8070187395523626,0.3582769872643808,0.31978709753860873,0.6642259414225942
roberta-base-10M-3,mlm,John,mother,732,3849,0.787251085219046,0.325865314386484,0.3030698718846136,0.6502987789036113
roberta-base-10M-3,mlm,Liz,child,331,1459,0.8489481106246959,0.30287713887642703,0.23986597745618626,0.77039067854695
roberta-base-10M-3,mlm,Liz,mother,611,3177,0.8326605471931252,0.3083002163749762,0.27039490286012424,0.724268177525968
roberta-base-10M-3,mlm,Nicole,child,261,770,0.8648547308143038,0.1973767298862907,0.1643186159345933,0.7779220779220779
roberta-base-10M-3,mlm,Nicole,mother,804,4353,0.8346684106590216,0.3014059203409264,0.26921216850180907,0.6919365954514128
roberta-base-10M-3,mlm,Ruth,child,223,806,0.8652970064174231,0.21010465652244106,0.19967387369494596,0.6935483870967742
roberta-base-10M-3,mlm,Ruth,mother,692,4656,0.8211559513476137,0.357644765910552,0.3379119768015122,0.7152061855670103
roberta-base-10M-3,mlm,Warren,child,433,2683,0.8047173895181831,0.3323759187894945,0.34924453963495,0.6876630637346254
roberta-base-10M-3,mlm,Warren,mother,838,6159,0.7795186821074924,0.34913586361051874,0.39224338145564236,0.6557882773177464
