model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
babylm-baseline-10m-gpt-bert-mixed,mlm,Anne,child,356,1275,0.9705823172621739,0.07679625597859221,0.06455232556220222,0.5286274509803922
babylm-baseline-10m-gpt-bert-mixed,mlm,Anne,mother,698,6140,0.9494696674870415,0.20977024815353726,0.1908449593401236,0.37980456026058634
babylm-baseline-10m-gpt-bert-mixed,mlm,Aran,child,411,2004,0.9540531517436698,0.13151426852354334,0.11643682003430171,0.4745508982035928
babylm-baseline-10m-gpt-bert-mixed,mlm,Aran,mother,1038,8432,0.9252839283535954,0.2220384926918077,0.2233754371931947,0.42421726755218214
babylm-baseline-10m-gpt-bert-mixed,mlm,Becky,child,390,1564,0.9865379743923929,0.040692008194485214,0.038136631477730956,0.670076726342711
babylm-baseline-10m-gpt-bert-mixed,mlm,Becky,mother,605,3754,0.9687332454115624,0.11111784463255366,0.10331680563671224,0.5071923281832712
babylm-baseline-10m-gpt-bert-mixed,mlm,Carl,child,412,4041,0.9829556727635617,0.09666641378230646,0.1003182544026185,0.40089086859688194
babylm-baseline-10m-gpt-bert-mixed,mlm,Carl,mother,512,3838,0.9677581300498581,0.13010426254630952,0.12627757144721957,0.47967691505992704
babylm-baseline-10m-gpt-bert-mixed,mlm,Dominic,child,153,411,0.9906269161474277,0.017373895388725618,0.020369200249991434,0.7883211678832117
babylm-baseline-10m-gpt-bert-mixed,mlm,Dominic,mother,540,4238,0.9599764114271041,0.1139123294375864,0.1522998249197104,0.4452571967909391
babylm-baseline-10m-gpt-bert-mixed,mlm,Gail,child,354,1013,0.9882420821727221,0.025578709729886358,0.024883641459312152,0.6258637709772952
babylm-baseline-10m-gpt-bert-mixed,mlm,Gail,mother,865,3795,0.9579233416089478,0.09657042967872177,0.09122027255644181,0.5038208168642951
babylm-baseline-10m-gpt-bert-mixed,mlm,Joel,child,390,1221,0.9863488407650168,0.03207182802786196,0.03049257750515837,0.5995085995085995
babylm-baseline-10m-gpt-bert-mixed,mlm,Joel,mother,800,3583,0.9683921477145111,0.07970456422218225,0.07583434415432455,0.5517722578844544
babylm-baseline-10m-gpt-bert-mixed,mlm,John,child,354,1912,0.9887386954384305,0.04621601130329935,0.043858883814712195,0.497907949790795
babylm-baseline-10m-gpt-bert-mixed,mlm,John,mother,732,3849,0.9640893126566144,0.10664685549362246,0.09706639073703076,0.44479085476747204
babylm-baseline-10m-gpt-bert-mixed,mlm,Liz,child,331,1459,0.987920869380913,0.04319734341588003,0.03879188027018596,0.6086360520904729
babylm-baseline-10m-gpt-bert-mixed,mlm,Liz,mother,611,3177,0.9667812935972805,0.09888191911815399,0.09264714264855425,0.5278564683663833
babylm-baseline-10m-gpt-bert-mixed,mlm,Nicole,child,261,770,0.9925231397426033,0.016259518541484986,0.01770636770855856,0.7298701298701299
babylm-baseline-10m-gpt-bert-mixed,mlm,Nicole,mother,804,4353,0.9707629869036294,0.09514045908983905,0.08454698757174137,0.512749827705031
babylm-baseline-10m-gpt-bert-mixed,mlm,Ruth,child,223,806,0.9886738470672596,0.02986489384889119,0.0316199096016098,0.5397022332506204
babylm-baseline-10m-gpt-bert-mixed,mlm,Ruth,mother,692,4656,0.9604383768268379,0.13658009459159431,0.12940413865060693,0.5143900343642611
babylm-baseline-10m-gpt-bert-mixed,mlm,Warren,child,433,2683,0.9856778605062559,0.0625698933428435,0.0588757640834508,0.5184494968319046
babylm-baseline-10m-gpt-bert-mixed,mlm,Warren,mother,838,6159,0.9550754979376999,0.14741731391023033,0.14925141208252238,0.4182497158629648
